caso,similitud_esperada,similitud_observada_estructural,coincide_estructural,ast_node_type_jaccard,ast_sequence_similarity,ast_node_count_similarity,ast_depth_similarity,structural_score,nota
Misma logica con nombres cambiados,alta,alta,si,0.9375,0.92,0.9230769230769231,1.0,0.9385865384615385,"Debe dar similitud alta: cambian nombres, pero la estructura lexica es parecida."
Misma logica con comentarios y docstrings diferentes,alta,alta,si,0.8666666666666667,0.9090909090909091,0.9130434782608696,0.875,0.889721673254282,Debe dar similitud alta: comentarios y docstrings se eliminan en preprocesamiento.
Mismo patron con while en lugar de for,media,media,si,0.625,0.6666666666666666,0.5517241379310345,0.8571428571428572,0.6634133825944171,"Debe quedar en similitud media: la intencion es parecida, pero cambia el flujo lexico."
Codigo distinto,media,media,si,0.4444444444444444,0.631578947368421,0.7272727272727273,1.0,0.6356990962254119,"Debe bajar la similitud: cambian tokens, operadores y flujo de control."
Algoritmos de busqueda similares,alta,alta,si,1.0,1.0,1.0,1.0,1.0,Debe dar similitud muy alta: se conserva el mismo patron de control y retorno.
Misma salida con implementacion muy distinta,media,media,si,0.3888888888888889,0.42424242424242425,0.65,0.875,0.5133459595959595,"Debe bajar respecto a casos identicos: mismo objetivo, pero forma lexica diferente."
Cambio de operadores de comparacion,alta,alta,si,0.8823529411764706,0.9545454545454546,1.0,1.0,0.9429144385026738,"Debe mostrar similitud parcial: estructura parecida, condicion logica diferente."
Misma operacion con literales distintos,alta,alta,si,1.0,1.0,1.0,1.0,1.0,Debe mantener similitud alta: los literales numericos se normalizan como LITERAL.
Funciones con orden de instrucciones cambiado,alta,alta,si,1.0,1.0,1.0,1.0,1.0,Debe dar similitud alta pero no perfecta: tokens parecidos con orden parcialmente cambiado.
Uso de funciones integradas distinto,media,media,si,0.6428571428571429,0.6470588235294118,0.6190476190476191,1.0,0.6943277310924371,"Debe quedar en similitud media: misma idea matematica, expresion lexica mas compacta."
Caso extremo: codigo vacio contra funcion,baja,baja,si,0.16666666666666666,0.2857142857142857,0.16666666666666663,0.19999999999999996,0.21333333333333332,Debe dar similitud baja: un lado no aporta tokens.
